,Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY,Zip Code,property_type,property_type_num,location,city,state,neighborhood,neighborhood_num,long,lat,Median_Sale_Price_Bin
41,"San Jose, CA - Alexander",15-Jun,352000,6.3,30.6,3.0,-25.0,-25.0,9.0,-10.0,125.0,6.0,-14.3,200.0,128.0,48.0,80.0,101.0,1.0,-1.7,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
49,"San Jose, CA - Alexander",16-Feb,365000,8.1,29.2,13.0,-7.1,116.7,6.0,-33.3,20.0,4.0,33.3,300.0,29.0,-3.0,14.0,102.2,-0.2,-2.4,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
50,"San Jose, CA - Alexander",16-Mar,355000,-2.7,20.4,6.0,-53.8,100.0,7.0,16.7,40.0,6.0,50.0,500.0,28.0,-1.0,21.0,99.9,-2.4,-3.9,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
51,"San Jose, CA - Alexander",16-Apr,365000,2.7,17.7,3.0,-50.0,-40.0,6.0,-14.3,50.0,5.0,-16.7,66.7,27.0,-1.0,20.0,101.6,1.7,-2.0,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
52,"San Jose, CA - Alexander",16-May,346000,-5.3,4.4,5.0,66.7,25.0,8.0,33.3,-20.0,7.0,40.0,0.0,44.0,17.0,-36.0,102.2,0.7,2.3,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
54,"San Jose, CA - Alexander",16-Jul,351000,1.7,30.0,9.0,80.0,80.0,14.0,40.0,27.3,7.0,-12.5,75.0,43.0,-1.0,26.0,101.8,0.1,3.0,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
56,"San Jose, CA - Alexander",16-Sep,351000,3.2,12.1,11.0,10.0,0.0,8.0,-33.3,-11.1,2.0,-33.3,-71.4,37.0,-3.0,20.0,101.0,0.3,0.8,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
58,"San Jose, CA - Alexander",16-Nov,388000,15.7,31.1,4.0,-42.9,-33.3,5.0,0.0,-58.3,3.0,-25.0,-57.1,51.0,14.0,4.0,103.7,3.2,0.7,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
59,"San Jose, CA - Alexander",16-Dec,365000,-5.9,5.8,5.0,25.0,-58.3,4.0,-20.0,-66.7,3.0,-25.0,-57.1,34.0,-17.0,3.0,102.7,-1.0,-1.8,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
93,"San Jose, CA - Alma-Almaden",14-Oct,348000,0.7,7.9,8.0,14.3,0.0,8.0,0.0,0.0,3.0,0.0,-25.0,8.0,0.0,-5.0,100.5,-0.6,-2.2,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
94,"San Jose, CA - Alma-Almaden",14-Nov,350000,0.7,34.6,5.0,-37.5,-16.7,4.0,-50.0,33.3,2.0,-33.3,0.0,15.0,7.0,-8.0,100.2,-0.3,2.0,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
95,"San Jose, CA - Alma-Almaden",14-Dec,358000,2.1,40.2,6.0,20.0,-14.3,3.0,-25.0,200.0,2.0,-33.3,0.0,47.0,32.0,19.0,98.7,-1.5,2.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
96,"San Jose, CA - Alma-Almaden",15-Jan,358000,0.0,38.8,4.0,-33.3,0.0,1.0,-66.7,-80.0,2.0,-33.3,0.0,47.0,0.0,12.0,99.0,0.3,5.8,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
97,"San Jose, CA - Alma-Almaden",15-Feb,365000,2.1,6.6,5.0,25.0,25.0,2.0,100.0,-60.0,2.0,-33.3,0.0,46.0,-1.0,26.0,101.7,2.6,2.4,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
98,"San Jose, CA - Alma-Almaden",15-Mar,411000,12.5,19.0,1.0,-80.0,-66.7,1.0,-50.0,-80.0,2.0,-33.3,0.0,14.0,-32.0,1.0,112.2,10.6,9.3,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
99,"San Jose, CA - Alma-Almaden",15-Apr,411000,0.0,19.0,1.0,0.0,-80.0,2.0,100.0,-33.3,1.0,-33.3,-66.7,14.0,0.0,-31.0,112.2,0.0,10.8,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
100,"San Jose, CA - Alma-Almaden",15-May,415000,1.1,59.6,1.0,0.0,-80.0,3.0,50.0,-25.0,1.0,-33.3,-66.7,10.0,-4.0,-35.0,103.8,-8.5,3.6,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
101,"San Jose, CA - Alma-Almaden",15-Jun,440000,6.0,51.7,3.0,200.0,-50.0,5.0,66.7,-16.7,2.0,-33.3,100.0,10.0,0.0,-24.0,102.2,-1.6,1.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
102,"San Jose, CA - Alma-Almaden",15-Jul,440000,0.0,27.5,3.0,0.0,-40.0,4.0,-20.0,-20.0,2.0,0.0,0.0,10.0,0.0,2.0,102.2,0.0,1.3,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
103,"San Jose, CA - Alma-Almaden",15-Aug,440000,0.0,27.5,3.0,0.0,-50.0,2.0,-50.0,-75.0,1.0,-50.0,-50.0,13.0,3.0,5.0,100.9,-1.3,0.0,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
104,"San Jose, CA - Alma-Almaden",15-Sep,363000,-17.6,5.1,2.0,-33.3,-71.4,3.0,50.0,-62.5,3.0,200.0,0.0,69.0,56.0,61.0,101.9,0.9,0.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
106,"San Jose, CA - Alma-Almaden",15-Nov,430000,50.9,22.9,3.0,0.0,-40.0,5.0,25.0,25.0,2.0,0.0,0.0,29.0,-27.0,14.0,101.6,0.3,1.3,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
107,"San Jose, CA - Alma-Almaden",15-Dec,430000,0.0,20.3,3.0,0.0,-50.0,2.0,-60.0,-33.3,1.0,-50.0,0.0,29.0,0.0,-18.0,102.3,0.7,3.6,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
108,"San Jose, CA - Alma-Almaden",16-Jan,438000,1.7,22.4,4.0,33.3,0.0,2.0,0.0,100.0,1.0,0.0,0.0,39.0,10.0,-8.0,101.7,-0.6,2.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
109,"San Jose, CA - Alma-Almaden",16-Feb,448000,2.3,22.6,4.0,0.0,-20.0,4.0,100.0,100.0,2.0,100.0,0.0,39.0,0.0,-7.0,102.7,1.0,1.0,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
110,"San Jose, CA - Alma-Almaden",16-Mar,448000,0.0,9.0,6.0,50.0,500.0,7.0,75.0,600.0,2.0,0.0,0.0,33.0,-6.0,19.0,102.7,0.0,-9.5,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
111,"San Jose, CA - Alma-Almaden",16-Apr,450000,0.6,9.6,7.0,16.7,600.0,8.0,14.3,300.0,2.0,0.0,100.0,29.0,-4.0,15.0,102.1,-0.6,-10.1,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
112,"San Jose, CA - Alma-Almaden",16-May,450000,0.0,8.4,7.0,0.0,600.0,6.0,-25.0,100.0,1.0,-50.0,100.0,17.0,-13.0,7.0,102.2,0.1,-1.6,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
113,"San Jose, CA - Alma-Almaden",16-Jun,460000,2.2,4.5,7.0,0.0,133.3,4.0,-33.3,-20.0,1.0,-50.0,100.0,11.0,-6.0,1.0,101.4,-0.8,-0.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,2
114,"San Jose, CA - Alma-Almaden",16-Jul,470000,2.2,6.8,5.0,-28.6,66.7,2.0,-50.0,-50.0,1.0,-50.0,100.0,7.0,-4.0,-3.0,102.8,1.3,0.6,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,2
115,"San Jose, CA - Alma-Almaden",16-Aug,465000,-1.1,5.7,4.0,-20.0,33.3,2.0,0.0,0.0,1.0,-50.0,0.0,11.0,4.0,-2.0,102.1,-0.7,1.2,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,2
116,"San Jose, CA - Alma-Almaden",16-Sep,468000,0.5,29.0,2.0,-50.0,0.0,3.0,50.0,0.0,2.0,100.0,-33.3,17.0,6.0,-52.0,101.8,-0.4,-0.1,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,2
117,"San Jose, CA - Alma-Almaden",16-Oct,390000,-16.6,36.8,3.0,50.0,0.0,5.0,66.7,25.0,1.0,-50.0,-50.0,26.0,10.0,-30.0,103.9,2.1,2.6,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
118,"San Jose, CA - Alma-Almaden",16-Nov,366000,-6.2,-14.9,4.0,33.3,33.3,4.0,-20.0,-20.0,1.0,0.0,-50.0,24.0,-2.0,-5.0,104.2,0.3,2.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
120,"San Jose, CA - Almaden Meadows",12-Jan,768000,0.0,-4.0,10.0,66.7,11.1,4.0,-50.0,0.0,2.0,-33.3,0.0,25.0,1.0,-32.0,99.4,-0.7,0.4,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
121,"San Jose, CA - Almaden Meadows",12-Feb,771000,0.4,0.5,9.0,-10.0,12.5,2.0,-50.0,-60.0,2.0,0.0,-60.0,27.0,2.0,-32.0,98.2,-1.1,-0.4,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
122,"San Jose, CA - Almaden Meadows",12-Mar,750000,-2.7,2.0,7.0,-22.2,0.0,6.0,200.0,-14.3,3.0,50.0,-62.5,23.0,-4.0,-34.0,100.3,2.0,-0.6,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
123,"San Jose, CA - Almaden Meadows",12-Apr,708000,-5.6,1.8,3.0,-57.1,50.0,6.0,0.0,-50.0,3.0,0.0,-70.0,11.0,-12.0,-33.0,103.8,3.5,-2.0,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
124,"San Jose, CA - Almaden Meadows",12-May,785000,10.9,-1.9,5.0,66.7,66.7,8.0,33.3,-38.5,4.0,33.3,-55.6,126.0,115.0,99.0,101.2,-2.6,-1.2,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
128,"San Jose, CA - Almaden Meadows",12-Sep,760000,-10.4,7.8,9.0,28.6,28.6,13.0,8.3,160.0,7.0,-12.5,75.0,21.0,3.0,2.0,100.2,0.3,1.7,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
129,"San Jose, CA - Almaden Meadows",12-Oct,788000,3.6,9.8,10.0,11.1,66.7,10.0,-23.1,11.1,5.0,-28.6,-28.6,17.0,-5.0,-9.0,99.8,-0.4,2.0,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,3
132,"San Jose, CA - Almaden Meadows",13-Jan,817000,-7.2,6.4,9.0,-18.2,-10.0,6.0,20.0,50.0,2.0,100.0,0.0,28.0,4.0,3.0,98.8,0.2,-0.6,95120.0,condo,0,"['San Jose', ' CA - Almaden Meadows']",san jose,ca,almaden,2,-121.8448745,37.1696999,4
181,"San Jose, CA - Almaden Valley",12-Feb,825000,-1.7,-4.1,66.0,0.0,-2.9,81.0,20.9,-12.9,65.0,-7.1,-38.7,56.0,-11.0,-32.0,97.2,-0.9,0.7,95120.0,condo,0,"['San Jose', ' CA - Almaden Valley']",san jose,ca,almaden,2,-121.8448745,37.1696999,4
182,"San Jose, CA - Almaden Valley",12-Mar,825000,0.0,-1.8,79.0,19.7,0.0,114.0,40.7,-17.4,71.0,9.2,-40.8,35.0,-21.0,-23.0,97.5,0.4,0.1,95120.0,condo,0,"['San Jose', ' CA - Almaden Valley']",san jose,ca,almaden,2,-121.8448745,37.1696999,4
240,"San Jose, CA - Anderson East",12-Jan,405000,-3.6,-6.5,17.0,30.8,54.5,12.0,-14.3,-20.0,5.0,0.0,-64.3,17.0,-23.0,-12.0,101.9,1.8,4.8,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,1
241,"San Jose, CA - Anderson East",12-Feb,410000,1.2,-3.5,18.0,5.9,38.5,16.0,33.3,6.7,4.0,-20.0,-73.3,15.0,-2.0,-14.0,101.5,-0.5,3.8,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,1
242,"San Jose, CA - Anderson East",12-Mar,422000,2.9,8.9,17.0,-5.6,41.7,13.0,-18.8,-7.1,4.0,0.0,-73.3,12.0,-3.0,-17.0,100.8,-0.6,3.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,1
243,"San Jose, CA - Anderson East",12-Apr,440000,4.3,10.6,12.0,-29.4,20.0,13.0,0.0,8.3,3.0,-25.0,-75.0,15.0,3.0,-7.0,101.4,0.6,2.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,1
244,"San Jose, CA - Anderson East",12-May,465000,5.7,16.9,10.0,-16.7,-16.7,10.0,-23.1,-28.6,4.0,33.3,-75.0,62.0,47.0,24.0,101.0,-0.4,2.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
245,"San Jose, CA - Anderson East",12-Jun,481000,3.4,20.9,10.0,0.0,-28.6,9.0,-10.0,-35.7,4.0,0.0,-69.2,29.0,-33.0,-54.0,101.4,0.4,1.4,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
246,"San Jose, CA - Anderson East",12-Jul,475000,-1.2,19.6,7.0,-30.0,-56.3,10.0,11.1,-28.6,3.0,-25.0,-72.7,27.0,-2.0,-39.0,99.7,-1.7,-2.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
247,"San Jose, CA - Anderson East",12-Aug,487000,2.4,24.7,9.0,28.6,-18.2,10.0,0.0,0.0,4.0,33.3,-60.0,27.0,0.0,8.0,101.5,1.8,-2.5,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
248,"San Jose, CA - Anderson East",12-Sep,506000,4.1,29.8,8.0,-11.1,14.3,9.0,-10.0,0.0,3.0,-25.0,-66.7,22.0,-6.0,8.0,102.9,1.4,-1.6,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
249,"San Jose, CA - Anderson East",12-Oct,530000,4.7,2.9,9.0,12.5,28.6,9.0,0.0,-18.2,5.0,66.7,-44.4,16.0,-6.0,-31.0,103.4,0.5,5.4,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
250,"San Jose, CA - Anderson East",12-Nov,483000,-9.0,9.0,7.0,-22.2,-30.0,6.0,-33.3,-50.0,2.0,-60.0,-60.0,9.0,-7.0,-35.0,104.3,0.9,5.2,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
251,"San Jose, CA - Anderson East",12-Dec,504000,4.5,20.0,6.0,-14.3,-53.8,7.0,16.7,-50.0,2.0,0.0,-60.0,18.0,9.0,-23.0,102.0,-2.3,1.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
252,"San Jose, CA - Anderson East",13-Jan,475000,-5.8,17.3,5.0,-16.7,-70.6,7.0,0.0,-41.7,3.0,50.0,-40.0,23.0,6.0,6.0,99.8,-2.2,-2.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
253,"San Jose, CA - Anderson East",13-Feb,553000,16.4,34.9,5.0,0.0,-72.2,7.0,0.0,-56.3,3.0,50.0,-40.0,23.0,0.0,8.0,103.8,4.0,2.3,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
254,"San Jose, CA - Anderson East",13-Mar,557000,0.7,32.0,7.0,40.0,-58.8,12.0,71.4,-7.7,3.0,50.0,-25.0,10.0,-13.0,-2.0,106.0,2.2,5.2,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
255,"San Jose, CA - Anderson East",13-Apr,569000,2.2,29.3,15.0,114.3,25.0,13.0,8.3,0.0,4.0,33.3,33.3,8.0,-2.0,-7.0,107.3,1.2,5.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
256,"San Jose, CA - Anderson East",13-May,572000,0.6,23.1,14.0,-6.7,40.0,14.0,7.7,40.0,3.0,-25.0,-25.0,9.0,1.0,-53.0,106.7,-0.6,5.7,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
257,"San Jose, CA - Anderson East",13-Jun,585000,2.2,21.6,12.0,-14.3,20.0,11.0,-21.4,22.2,3.0,0.0,-25.0,10.0,1.0,-19.0,106.9,0.2,5.5,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
258,"San Jose, CA - Anderson East",13-Jul,641000,9.6,34.9,6.0,-50.0,-14.3,12.0,9.1,20.0,9.0,200.0,200.0,20.0,10.0,-8.0,104.5,-2.3,4.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
259,"San Jose, CA - Anderson East",13-Aug,597000,-6.9,22.6,8.0,33.3,-11.1,14.0,16.7,40.0,6.0,-33.3,50.0,19.0,-1.0,-9.0,103.3,-1.2,1.8,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
260,"San Jose, CA - Anderson East",13-Sep,590000,-1.1,16.5,11.0,37.5,37.5,13.0,-7.1,44.4,6.0,0.0,100.0,24.0,6.0,3.0,101.9,-1.4,-1.0,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
261,"San Jose, CA - Anderson East",13-Oct,579000,-1.9,9.2,11.0,0.0,22.2,10.0,-23.1,11.1,6.0,0.0,20.0,25.0,1.0,9.0,100.7,-1.3,-2.8,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
262,"San Jose, CA - Anderson East",13-Nov,579000,0.0,20.0,9.0,-18.2,28.6,8.0,-20.0,33.3,5.0,-16.7,150.0,32.0,7.0,23.0,99.6,-1.0,-4.7,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
263,"San Jose, CA - Anderson East",13-Dec,590000,1.9,17.1,6.0,-33.3,0.0,8.0,0.0,14.3,6.0,20.0,200.0,45.0,13.0,28.0,100.9,1.3,-1.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
264,"San Jose, CA - Anderson East",14-Jan,613000,3.8,28.9,4.0,-33.3,-20.0,12.0,50.0,71.4,6.0,0.0,100.0,44.0,-2.0,21.0,102.7,1.8,2.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
265,"San Jose, CA - Anderson East",14-Feb,615000,0.4,11.2,9.0,125.0,80.0,15.0,25.0,114.3,5.0,-16.7,100.0,42.0,-2.0,19.0,104.3,1.7,0.5,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
266,"San Jose, CA - Anderson East",14-Mar,624000,1.4,11.9,12.0,33.3,71.4,19.0,26.7,58.3,8.0,60.0,166.7,20.0,-22.0,10.0,101.9,-2.4,-4.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
267,"San Jose, CA - Anderson East",14-Apr,630000,1.0,10.7,18.0,50.0,20.0,16.0,-15.8,23.1,6.0,-25.0,50.0,18.0,-3.0,10.0,102.2,0.3,-5.0,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
268,"San Jose, CA - Anderson East",14-May,623000,-1.2,8.8,18.0,0.0,28.6,20.0,25.0,42.9,9.0,50.0,200.0,17.0,-1.0,8.0,100.7,-1.5,-6.0,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
269,"San Jose, CA - Anderson East",14-Jun,630000,1.2,7.7,19.0,5.6,58.3,18.0,-10.0,63.6,9.0,0.0,200.0,19.0,2.0,9.0,101.6,0.9,-5.2,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
270,"San Jose, CA - Anderson East",14-Jul,615000,-2.4,-4.1,15.0,-21.1,150.0,19.0,5.6,58.3,11.0,22.2,22.2,20.0,1.0,1.0,101.1,-0.5,-3.5,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
271,"San Jose, CA - Anderson East",14-Aug,630000,2.4,5.6,11.0,-26.7,37.5,13.0,-31.6,-7.1,11.0,0.0,83.3,20.0,0.0,2.0,101.7,0.6,-1.6,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
272,"San Jose, CA - Anderson East",14-Sep,610000,-3.2,3.4,8.0,-27.3,-27.3,10.0,-23.1,-23.1,8.0,-27.3,33.3,21.0,1.0,-3.0,99.9,-1.8,-2.0,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
273,"San Jose, CA - Anderson East",14-Oct,605000,-0.8,4.5,6.0,-25.0,-45.5,8.0,-20.0,-20.0,7.0,-12.5,16.7,35.0,14.0,10.0,99.7,-0.2,-1.0,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
274,"San Jose, CA - Anderson East",14-Nov,630000,4.1,8.8,10.0,66.7,11.1,7.0,-12.5,-12.5,5.0,-28.6,0.0,52.0,17.0,20.0,99.3,-0.4,-0.4,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
275,"San Jose, CA - Anderson East",14-Dec,640000,1.6,8.5,11.0,10.0,83.3,6.0,-14.3,-25.0,3.0,-40.0,-50.0,35.0,-17.0,-10.0,99.6,0.3,-1.3,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
276,"San Jose, CA - Anderson East",15-Jan,640000,0.0,4.5,11.0,0.0,175.0,7.0,16.7,-41.7,5.0,66.7,-16.7,35.0,0.0,-9.0,99.6,0.0,-3.1,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
277,"San Jose, CA - Anderson East",15-Feb,623000,-2.7,1.3,6.0,-45.5,-33.3,10.0,42.9,-33.3,7.0,40.0,40.0,33.0,-3.0,-10.0,100.4,0.8,-3.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,2
278,"San Jose, CA - Anderson East",15-Mar,665000,6.7,6.7,6.0,0.0,-50.0,16.0,60.0,-15.8,9.0,28.6,12.5,15.0,-18.0,-5.0,103.5,3.1,1.6,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
279,"San Jose, CA - Anderson East",15-Apr,677000,1.7,7.4,10.0,66.7,-44.4,19.0,18.8,18.8,8.0,-11.1,33.3,16.0,1.0,-2.0,104.1,0.6,1.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
280,"San Jose, CA - Anderson East",15-May,674000,-0.4,8.2,18.0,80.0,0.0,17.0,-10.5,-15.0,6.0,-25.0,-33.3,15.0,-1.0,-2.0,104.6,0.5,3.9,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
281,"San Jose, CA - Anderson East",15-Jun,670000,-0.6,6.3,17.0,-5.6,-10.5,16.0,-5.9,-11.1,3.0,-50.0,-66.7,16.0,1.0,-4.0,103.9,-0.7,2.3,95123.0,condo,0,"['San Jose', ' CA - Anderson East']",san jose,ca,anderson,3,-121.8277925,37.2374847,3
