,Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY,property_type,property_type_num,location,city,state,neighborhood,neighborhood_num,Month,Year,Median_Sale_Price_Bin
53,"San Jose, CA - Lone Bluff",January 2017,740000,0.0,14.7,2,0.0,100.0,2.0,100.0,100.0,1.0,-50.0,-66.7,75.0,0.0,59.0,98.8,0.0,-4.4,singlefamily,3,"['San Jose', ' CA - Lone Bluff']",san jose,ca,lone,52,0,2017,2
54,"San Jose, CA - Los Gatos",January 2017,1108000,2.1,5.5,8,14.3,-11.1,5.0,0.0,-50.0,2.0,0.0,0.0,30.0,-10.0,18.0,100.6,0.5,-3.7,singlefamily,3,"['San Jose', ' CA - Los Gatos']",san jose,ca,los,53,0,2017,4
55,"San Jose, CA - Los Paseos",January 2017,768000,0.6,9.7,12,50.0,-7.7,3.0,-57.1,-62.5,1.0,0.0,-75.0,56.0,4.0,15.0,99.6,-0.3,-1.4,singlefamily,3,"['San Jose', ' CA - Los Paseos']",san jose,ca,los,53,0,2017,3
57,"San Jose, CA - Lynhaven",January 2017,915000,0.0,-0.3,7,-22.2,75.0,6.0,0.0,20.0,6.0,100.0,100.0,29.0,-6.0,-12.0,98.6,-2.2,-0.8,singlefamily,3,"['San Jose', ' CA - Lynhaven']",san jose,ca,lynhaven,55,0,2017,3
60,"San Jose, CA - Meadows",January 2017,605000,0.0,23.3,5,0.0,-16.7,5.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,-36.0,104.3,0.6,-6.5,singlefamily,3,"['San Jose', ' CA - Meadows']",san jose,ca,meadows,58,0,2017,2
61,"San Jose, CA - Miner",January 2017,744000,0.4,0.9,6,-25.0,50.0,6.0,50.0,200.0,3.0,50.0,200.0,36.0,8.0,-20.0,100.5,-2.6,-0.6,singlefamily,3,"['San Jose', ' CA - Miner']",san jose,ca,miner,59,0,2017,2
63,"San Jose, CA - Morrill",January 2017,898000,1.4,10.5,10,-9.1,150.0,2.0,-66.7,-60.0,3.0,50.0,200.0,36.0,2.0,19.0,100.7,-1.1,0.5,singlefamily,3,"['San Jose', ' CA - Morrill']",san jose,ca,morrill,61,0,2017,3
68,"San Jose, CA - Norwood",January 2017,928000,0.3,5.4,6,-14.3,50.0,1.0,-50.0,0.0,1.0,50.0,0.0,63.0,14.0,22.0,104.4,1.3,4.7,singlefamily,3,"['San Jose', ' CA - Norwood']",san jose,ca,norwood,65,0,2017,3
69,"San Jose, CA - Notting Hill-Royal Crest",January 2017,898000,-2.4,-0.3,6,0.0,200.0,1.0,-50.0,0.0,1.0,50.0,0.0,41.0,22.0,31.0,101.9,-0.2,-3.9,singlefamily,3,"['San Jose', ' CA - Notting Hill-Royal Crest']",san jose,ca,notting,66,0,2017,3
70,"San Jose, CA - Oak Grove",January 2017,743000,-2.4,-0.3,1,0.0,200.0,1.0,-50.0,0.0,1.0,50.0,0.0,39.0,22.0,31.0,99.1,-0.2,-3.9,singlefamily,3,"['San Jose', ' CA - Oak Grove']",san jose,ca,oak,67,0,2017,2
71,"San Jose, CA - Oster",January 2017,1030000,4.0,14.4,7,16.7,75.0,4.0,-20.0,300.0,1.0,50.0,0.0,51.0,26.0,24.0,102.5,-0.4,2.1,singlefamily,3,"['San Jose', ' CA - Oster']",san jose,ca,oster,68,0,2017,4
73,"San Jose, CA - Parkview",January 2017,745000,-2.0,2.8,9,0.0,-40.0,7.0,0.0,-22.2,3.0,50.0,-25.0,40.0,-40.0,8.0,102.4,3.4,1.8,singlefamily,3,"['San Jose', ' CA - Parkview']",san jose,ca,parkview,70,0,2017,2
74,"San Jose, CA - Penitencia",January 2017,850000,-4.7,2.4,1,-75.0,-80.0,4.0,300.0,-22.2,3.0,50.0,-25.0,28.0,-12.0,-3.0,106.3,3.8,9.0,singlefamily,3,"['San Jose', ' CA - Penitencia']",san jose,ca,penitencia,71,0,2017,3
77,"San Jose, CA - Ramblewood",January 2017,708000,-1.7,2.4,2,-33.3,-80.0,5.0,66.7,-22.2,3.0,50.0,-25.0,48.0,-19.0,-3.0,105.7,6.2,9.0,singlefamily,3,"['San Jose', ' CA - Ramblewood']",san jose,ca,ramblewood,74,0,2017,2
78,"San Jose, CA - Rancho Santa Teresa",January 2017,850000,2.5,1.5,12,-20.0,-33.3,3.0,-50.0,-72.7,3.0,50.0,-25.0,38.0,4.0,29.0,99.6,-0.4,-3.0,singlefamily,3,"['San Jose', ' CA - Rancho Santa Teresa']",san jose,ca,rancho,75,0,2017,3
79,"San Jose, CA - Riverview",January 2017,663000,-3.7,1.9,8,14.3,60.0,4.0,-20.0,0.0,1.0,0.0,-50.0,26.0,1.0,-18.0,98.0,-4.7,-3.1,singlefamily,3,"['San Jose', ' CA - Riverview']",san jose,ca,riverview,76,0,2017,2
80,"San Jose, CA - Rose-Sartorette",January 2017,875000,-3.2,-5.9,11,-38.9,-8.3,5.0,-37.5,0.0,4.0,100.0,100.0,42.0,9.0,-3.0,101.1,-0.1,-1.9,singlefamily,3,"['San Jose', ' CA - Rose-Sartorette']",san jose,ca,rose-sartorette,77,0,2017,3
83,"San Jose, CA - Serenede",January 2017,645000,2.3,17.0,6,100.0,-25.0,7.0,-12.5,40.0,4.0,100.0,100.0,40.0,-3.0,-18.0,103.8,-1.0,1.8,singlefamily,3,"['San Jose', ' CA - Serenede']",san jose,ca,serenede,79,0,2017,2
84,"San Jose, CA - Seven Trees",January 2017,638000,1.0,18.1,6,0.0,-14.3,4.0,0.0,-33.3,2.0,100.0,-33.3,54.0,0.0,8.0,104.0,-1.5,3.1,singlefamily,3,"['San Jose', ' CA - Seven Trees']",san jose,ca,seven,80,0,2017,2
