Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Alexander",Jan-12,$97K,,,1,,,,,,,,,47,,,98.00%,,
"San Jose, CA - Alexander",Feb-12,$97K,0.00%,,1,0.00%,,,,,,,,47,0,,98.00%,0.00%,
"San Jose, CA - Alexander",Mar-12,$97K,0.00%,,1,0.00%,,,,,,,,47,0,,98.00%,0.00%,
"San Jose, CA - Alma-Almaden",Mar-12,$216K,,,1,,,,,,,,,44,,,99.10%,,
"San Jose, CA - Alma-Almaden",Apr-12,$216K,0.00%,,1,0.00%,,,,,,,,44,0,,99.10%,0.00%,
"San Jose, CA - Alma-Almaden",May-12,$216K,0.00%,,1,0.00%,,,,,,,,44,0,,99.10%,0.00%,
"San Jose, CA - Alma-Almaden",Sep-12,$257K,,,1,,,1,,,,,,11,,,118.80%,,
"San Jose, CA - Alma-Almaden",Oct-12,$257K,0.00%,,1,0.00%,,,,,,,,11,0,,118.80%,0.00%,
"San Jose, CA - Alma-Almaden",Nov-12,$257K,0.00%,,1,0.00%,,,,,,,,11,0,,118.80%,0.00%,
"San Jose, CA - Alma-Almaden",Jan-13,$285K,,,1,,,1,,,,,,9,,,105.90%,,
"San Jose, CA - Alma-Almaden",Feb-13,$285K,0.00%,,1,0.00%,,1,0.00%,,,,,9,0,,105.90%,0.00%,
"San Jose, CA - Alma-Almaden",Mar-13,$285K,0.00%,31.90%,1,0.00%,0.00%,1,0.00%,,,,,9,0,-35,105.90%,0.00%,6.80%
"San Jose, CA - Almaden Valley",Jan-12,$633K,20.60%,15.10%,4,-42.90%,-42.90%,8,14.30%,0.00%,7,16.70%,-41.70%,256,103,173,97.50%,-0.40%,2.10%
"San Jose, CA - Almaden Valley",Feb-12,$480K,-24.20%,-24.70%,3,-25.00%,-50.00%,7,-12.50%,0.00%,7,0.00%,-53.30%,21,-235,-136,96.10%,-1.40%,1.00%
"San Jose, CA - Almaden Valley",Mar-12,$490K,2.10%,-4.90%,4,33.30%,33.30%,9,28.60%,-40.00%,4,-42.90%,-78.90%,16,-6,-157,96.50%,0.40%,2.10%
"San Jose, CA - Almaden Valley",Apr-12,$520K,6.10%,0.00%,7,75.00%,40.00%,10,11.10%,-41.20%,6,50.00%,-60.00%,14,-2,1,97.60%,1.10%,-0.30%
"San Jose, CA - Almaden Valley",May-12,$600K,15.40%,15.40%,11,57.10%,37.50%,17,70.00%,-5.60%,9,50.00%,-43.80%,19,5,-10,99.20%,1.60%,1.70%
"San Jose, CA - Almaden Valley",Jun-12,$665K,10.80%,26.00%,16,45.50%,33.30%,18,5.90%,63.60%,6,-33.30%,-50.00%,13,-6,-20,99.20%,0.00%,2.90%
"San Jose, CA - Almaden Valley",Jul-12,$662K,-0.50%,23.60%,20,25.00%,33.30%,15,-16.70%,25.00%,5,-16.70%,-66.70%,24,11,-49,98.90%,-0.30%,2.80%
"San Jose, CA - Almaden Valley",Aug-12,$664K,0.30%,18.60%,17,-15.00%,30.80%,8,-46.70%,-20.00%,5,0.00%,-61.50%,44,20,-37,98.20%,-0.70%,1.70%
"San Jose, CA - Almaden Valley",Sep-12,$664K,0.00%,29.70%,11,-35.30%,-15.40%,7,-12.50%,-22.20%,5,0.00%,-54.50%,79,35,-59,98.10%,-0.10%,0.50%
"San Jose, CA - Almaden Valley",Oct-12,$601K,-9.60%,18.40%,8,-27.30%,-11.10%,12,71.40%,71.40%,8,60.00%,-11.10%,63,-16,20,98.50%,0.50%,0.40%
"San Jose, CA - Almaden Valley",Nov-12,$623K,3.80%,21.40%,8,0.00%,-20.00%,10,-16.70%,25.00%,3,-62.50%,-62.50%,41,-23,-56,99.60%,1.10%,2.00%
"San Jose, CA - Almaden Valley",Dec-12,$622K,-0.20%,18.50%,11,37.50%,57.10%,9,-10.00%,28.60%,3,0.00%,-50.00%,38,-3,-116,100.60%,1.00%,2.80%
"San Jose, CA - Almaden Valley",Jan-13,$625K,0.50%,-1.30%,7,-36.40%,75.00%,7,-22.20%,-12.50%,4,33.30%,-42.90%,20,-18,-236,101.20%,0.60%,3.70%
"San Jose, CA - Almaden Valley",Feb-13,$695K,11.20%,44.80%,9,28.60%,200.00%,8,14.30%,14.30%,1,-75.00%,-85.70%,45,25,24,100.70%,-0.50%,4.60%
"San Jose, CA - Almaden Valley",Mar-13,$750K,7.90%,53.10%,7,-22.20%,75.00%,12,50.00%,33.30%,3,200.00%,-25.00%,62,17,46,99.80%,-0.90%,3.40%
"San Jose, CA - Almaden Valley",Apr-13,$749K,-0.10%,44.00%,13,85.70%,85.70%,13,8.30%,30.00%,3,0.00%,-50.00%,19,-43,5,101.70%,1.90%,4.10%
"San Jose, CA - Almaden Valley",May-13,$695K,-7.20%,15.80%,15,15.40%,36.40%,16,23.10%,-5.90%,1,-66.70%,-88.90%,9,-10,-10,105.00%,3.20%,5.80%
"San Jose, CA - Almaden Valley",Jun-13,$650K,-6.50%,-2.30%,17,13.30%,6.30%,17,6.30%,-5.60%,5,400.00%,-16.70%,8,-1,-5,105.10%,0.10%,5.90%
"San Jose, CA - Almaden Valley",Jul-13,$690K,6.20%,4.20%,15,-11.80%,-25.00%,13,-23.50%,-13.30%,5,0.00%,0.00%,8,0,-16,105.30%,0.20%,6.30%
"San Jose, CA - Almaden Valley",Aug-13,$650K,-5.80%,-2.10%,9,-40.00%,-47.10%,11,-15.40%,37.50%,2,-60.00%,-60.00%,9,1,-35,103.40%,-1.80%,5.20%
"San Jose, CA - Almaden Valley",Sep-13,$775K,19.20%,16.70%,10,11.10%,-9.10%,8,-27.30%,14.30%,3,50.00%,-40.00%,12,3,-67,100.90%,-2.50%,2.80%
"San Jose, CA - Almaden Valley",Oct-13,$758K,-2.30%,26.10%,8,-20.00%,0.00%,8,0.00%,-33.30%,2,-33.30%,-75.00%,24,12,-39,99.20%,-1.70%,0.70%
"San Jose, CA - Almaden Valley",Nov-13,$758K,0.00%,21.50%,8,0.00%,0.00%,6,-25.00%,-40.00%,1,-50.00%,-66.70%,15,-9,-26,99.30%,0.10%,-0.30%
"San Jose, CA - Almaden Valley",Dec-13,$700K,-7.60%,12.60%,6,-25.00%,-45.50%,4,-33.30%,-55.60%,1,0.00%,-66.70%,24,9,-14,98.80%,-0.50%,-1.80%
"San Jose, CA - Almaden Valley",Jan-14,$668K,-4.60%,6.90%,5,-16.70%,-28.60%,3,-25.00%,-57.10%,2,100.00%,-50.00%,33,9,13,99.60%,0.80%,-1.60%
"San Jose, CA - Almaden Valley",Feb-14,$704K,5.40%,1.30%,4,-20.00%,-55.60%,5,66.70%,-37.50%,2,0.00%,100.00%,37,4,-9,99.30%,-0.30%,-1.40%
"San Jose, CA - Almaden Valley",Mar-14,$684K,-2.80%,-8.80%,4,0.00%,-42.90%,4,-20.00%,-66.70%,2,0.00%,-33.30%,8,-29,-54,106.30%,7.00%,6.50%
"San Jose, CA - Almaden Valley",Apr-14,$700K,2.30%,-6.50%,3,-25.00%,-76.90%,9,125.00%,-30.80%,4,100.00%,33.30%,7,-1,-12,106.30%,0.00%,4.60%
"San Jose, CA - Almaden Valley",May-14,$826K,17.90%,18.80%,6,100.00%,-60.00%,12,33.30%,-25.00%,5,25.00%,400.00%,11,4,2,103.00%,-3.30%,-2.00%
"San Jose, CA - Almaden Valley",Jun-14,$885K,7.20%,36.20%,8,33.30%,-52.90%,15,25.00%,-11.80%,7,40.00%,40.00%,14,3,6,99.80%,-3.20%,-5.30%
"San Jose, CA - Almaden Valley",Jul-14,$830K,-6.20%,20.30%,13,62.50%,-13.30%,12,-20.00%,-7.70%,6,-14.30%,20.00%,14,1,6,100.50%,0.60%,-4.80%
"San Jose, CA - Almaden Valley",Aug-14,$785K,-5.40%,20.80%,15,15.40%,66.70%,10,-16.70%,-9.10%,3,-50.00%,50.00%,24,10,15,99.80%,-0.60%,-3.60%
"San Jose, CA - Almaden Valley",Sep-14,$837K,6.60%,8.00%,13,-13.30%,30.00%,11,10.00%,37.50%,6,100.00%,100.00%,24,0,12,100.90%,1.10%,0.00%
"San Jose, CA - Almaden Valley",Oct-14,$900K,7.50%,18.80%,9,-30.80%,12.50%,13,18.20%,62.50%,8,33.30%,300.00%,23,-2,-2,101.30%,0.40%,2.00%
"San Jose, CA - Almaden Valley",Nov-14,$830K,-7.80%,9.60%,9,0.00%,12.50%,11,-15.40%,83.30%,6,-25.00%,500.00%,13,-10,-2,103.70%,2.40%,4.40%
"San Jose, CA - Almaden Valley",Dec-14,$750K,-9.60%,7.10%,9,0.00%,50.00%,6,-45.50%,50.00%,1,-83.30%,0.00%,30,17,6,102.00%,-1.70%,3.20%
"San Jose, CA - Almaden Valley",Jan-15,$775K,3.30%,16.00%,10,11.10%,100.00%,3,-50.00%,0.00%,2,100.00%,0.00%,60,30,27,101.30%,-0.70%,1.70%
"San Jose, CA - Almaden Valley",Feb-15,$865K,11.60%,22.90%,5,-50.00%,25.00%,6,100.00%,20.00%,2,0.00%,0.00%,81,22,45,100.30%,-1.00%,0.90%
"San Jose, CA - Almaden Valley",Mar-15,$793K,-8.40%,15.90%,4,-20.00%,0.00%,10,66.70%,150.00%,2,0.00%,0.00%,42,-40,34,101.20%,0.90%,-5.10%
"San Jose, CA - Almaden Valley",Apr-15,$749K,-5.60%,6.90%,8,100.00%,166.70%,11,10.00%,22.20%,2,0.00%,-50.00%,14,-28,7,104.60%,3.40%,-1.80%
"San Jose, CA - Almaden Valley",May-15,$807K,7.80%,-2.20%,13,62.50%,116.70%,13,18.20%,8.30%,2,0.00%,-60.00%,18,4,7,103.20%,-1.40%,0.20%
"San Jose, CA - Almaden Valley",Jun-15,$880K,9.00%,-0.60%,17,30.80%,112.50%,11,-15.40%,-26.70%,1,-50.00%,-85.70%,17,-1,4,103.90%,0.70%,4.10%
"San Jose, CA - Almaden Valley",Jul-15,$900K,2.20%,8.40%,11,-35.30%,-15.40%,12,9.10%,0.00%,3,200.00%,-50.00%,19,2,5,102.90%,-1.00%,2.50%
"San Jose, CA - Almaden Valley",Aug-15,"$1,024K",13.80%,30.40%,10,-9.10%,-33.30%,10,-16.70%,0.00%,5,66.70%,66.70%,9,-10,-15,103.70%,0.80%,3.90%
"San Jose, CA - Almaden Valley",Sep-15,$856K,-16.40%,2.20%,8,-20.00%,-38.50%,11,10.00%,0.00%,3,-40.00%,-50.00%,9,0,-15,102.20%,-1.50%,1.30%
"San Jose, CA - Almaden Valley",Oct-15,$856K,0.00%,-4.90%,10,25.00%,11.10%,8,-27.30%,-38.50%,3,0.00%,-62.50%,9,0,-14,102.40%,0.20%,1.20%
"San Jose, CA - Almaden Valley",Nov-15,$780K,-8.90%,-6.00%,7,-30.00%,-22.20%,6,-25.00%,-45.50%,1,-66.70%,-83.30%,61,52,48,101.80%,-0.60%,-1.90%
"San Jose, CA - Almaden Valley",Dec-15,$980K,25.60%,30.70%,5,-28.60%,-44.40%,4,-33.30%,-33.30%,2,100.00%,100.00%,61,0,31,101.10%,-0.70%,-0.90%
"San Jose, CA - Almaden Valley",Jan-16,$899K,-8.30%,16.00%,7,40.00%,-30.00%,4,0.00%,33.30%,,,,60,-1,1,100.90%,-0.20%,-0.50%
"San Jose, CA - Almaden Valley",Feb-16,$887K,-1.30%,2.50%,6,-14.30%,20.00%,4,0.00%,-33.30%,1,,-50.00%,43,-17,-38,101.30%,0.50%,1.00%
"San Jose, CA - Almaden Valley",Mar-16,$869K,-2.00%,9.70%,5,-16.70%,25.00%,12,200.00%,20.00%,7,600.00%,250.00%,35,-9,-7,102.20%,0.80%,1.00%
"San Jose, CA - Almaden Valley",Apr-16,$788K,-9.30%,5.30%,5,0.00%,-37.50%,14,16.70%,27.30%,6,-14.30%,200.00%,7,-28,-7,104.80%,2.60%,0.20%
"San Jose, CA - Almaden Valley",May-16,$869K,10.30%,7.70%,9,80.00%,-30.80%,19,35.70%,46.20%,8,33.30%,300.00%,11,4,-7,104.30%,-0.40%,1.10%
"San Jose, CA - Almaden Valley",Jun-16,$893K,2.70%,1.40%,12,33.30%,-29.40%,12,-36.80%,9.10%,8,0.00%,700.00%,10,-1,-7,104.20%,-0.10%,0.30%
"San Jose, CA - Almaden Valley",Jul-16,$910K,2.00%,1.20%,9,-25.00%,-18.20%,11,-8.30%,-8.30%,5,-37.50%,66.70%,11,1,-8,102.80%,-1.40%,-0.10%
"San Jose, CA - Almaden Valley",Aug-16,$900K,-1.10%,-12.10%,10,11.10%,0.00%,9,-18.20%,-10.00%,3,-40.00%,-40.00%,15,4,6,100.10%,-2.70%,-3.60%
"San Jose, CA - Almaden Valley",Sep-16,$853K,-5.30%,-0.40%,10,0.00%,25.00%,10,11.10%,-9.10%,4,33.30%,33.30%,27,12,18,98.30%,-1.80%,-3.90%
"San Jose, CA - Almaden Valley",Oct-16,$853K,0.00%,-0.40%,12,20.00%,20.00%,12,20.00%,50.00%,5,25.00%,66.70%,26,-1,17,99.10%,0.70%,-3.40%
"San Jose, CA - Almaden Valley",Nov-16,$832K,-2.40%,6.70%,8,-33.30%,14.30%,8,-33.30%,33.30%,5,0.00%,400.00%,16,-10,-45,99.80%,0.80%,-2.00%
"San Jose, CA - Almaden Valley",Dec-16,$845K,1.60%,-13.80%,5,-37.50%,0.00%,5,-37.50%,25.00%,3,-40.00%,50.00%,14,-3,-48,99.70%,-0.10%,-1.30%
"San Jose, CA - Barbera-Stokes",Jan-12,$345K,0.70%,-10.20%,7,16.70%,40.00%,1,-66.70%,-50.00%,1,-66.70%,-75.00%,125,1,80,98.10%,-0.10%,1.80%
"San Jose, CA - Barbera-Stokes",Feb-12,$345K,0.00%,-4.80%,5,-28.60%,-16.70%,1,0.00%,-50.00%,1,0.00%,-75.00%,62,-63,-35,98.00%,-0.10%,0.60%
"San Jose, CA - Barbera-Stokes",Mar-12,$385K,11.60%,26.20%,3,-40.00%,-40.00%,3,200.00%,-40.00%,1,0.00%,-85.70%,62,0,-60,98.60%,0.60%,1.30%
"San Jose, CA - Barbera-Stokes",Apr-12,$388K,0.80%,27.40%,3,0.00%,0.00%,6,100.00%,-33.30%,2,100.00%,-81.80%,8,-54,-114,99.50%,0.90%,1.70%
"San Jose, CA - Barbera-Stokes",May-12,$384K,-1.00%,20.00%,4,33.30%,100.00%,8,33.30%,-20.00%,1,-50.00%,-90.00%,7,-2,-80,102.30%,2.80%,1.10%
"San Jose, CA - Barbera-Stokes",Jun-12,$399K,3.90%,15.70%,7,75.00%,133.30%,6,-25.00%,-33.30%,,,,6,-1,-3,101.90%,-0.40%,-2.80%
"San Jose, CA - Barbera-Stokes",Jul-12,$403K,1.00%,11.20%,5,-28.60%,25.00%,3,-50.00%,-40.00%,,,,6,0,-6,102.90%,1.00%,-0.20%
"San Jose, CA - Barbera-Stokes",Aug-12,$399K,-1.00%,10.10%,5,0.00%,25.00%,2,-33.30%,-33.30%,,,,12,6,-12,101.30%,-1.60%,1.00%
"San Jose, CA - Barbera-Stokes",Sep-12,$378K,-5.40%,23.80%,4,-20.00%,0.00%,3,50.00%,0.00%,,,,11,-2,-37,100.40%,-1.00%,2.50%
"San Jose, CA - Barbera-Stokes",Oct-12,$390K,3.30%,27.90%,5,25.00%,25.00%,4,33.30%,0.00%,1,,-80.00%,9,-2,-20,101.00%,0.60%,3.30%
"San Jose, CA - Barbera-Stokes",Nov-12,$424K,8.70%,30.50%,3,-40.00%,-50.00%,3,-25.00%,-40.00%,2,100.00%,-50.00%,6,-3,-87,100.80%,-0.20%,2.90%
"San Jose, CA - Barbera-Stokes",Dec-12,$430K,1.40%,25.50%,1,-66.70%,-83.30%,3,0.00%,0.00%,,,,9,3,-116,103.60%,2.80%,5.40%
"San Jose, CA - Barbera-Stokes",Jan-13,$440K,2.30%,27.50%,1,0.00%,-85.70%,2,-33.30%,100.00%,,,,10,1,-115,111.40%,7.80%,13.30%
"San Jose, CA - Barbera-Stokes",Feb-13,$419K,-4.80%,21.40%,3,200.00%,-40.00%,6,200.00%,500.00%,2,,100.00%,15,5,-47,112.40%,1.00%,14.40%
"San Jose, CA - Barbera-Stokes",Mar-13,$440K,5.00%,14.30%,5,66.70%,66.70%,5,-16.70%,66.70%,1,-50.00%,0.00%,10,-5,-52,111.70%,-0.80%,13.10%
"San Jose, CA - Barbera-Stokes",Apr-13,$460K,4.50%,18.60%,5,0.00%,66.70%,6,20.00%,0.00%,1,0.00%,-50.00%,8,-2,0,111.80%,0.10%,12.30%
"San Jose, CA - Barbera-Stokes",May-13,$478K,3.90%,24.50%,5,0.00%,25.00%,4,-33.30%,-50.00%,4,300.00%,300.00%,8,0,2,108.50%,-3.30%,6.20%
"San Jose, CA - Barbera-Stokes",Jun-13,$481K,0.60%,20.60%,3,-40.00%,-57.10%,6,50.00%,0.00%,2,-50.00%,,9,1,3,107.20%,-1.30%,5.20%
"San Jose, CA - Barbera-Stokes",Jul-13,$491K,2.00%,21.70%,4,33.30%,-20.00%,6,0.00%,100.00%,1,-50.00%,,18,9,12,102.40%,-4.70%,-0.50%
"San Jose, CA - Barbera-Stokes",Aug-13,$475K,-3.20%,19.00%,6,50.00%,20.00%,4,-33.30%,100.00%,1,0.00%,,21,3,9,101.70%,-0.70%,0.30%
"San Jose, CA - Barbera-Stokes",Sep-13,$490K,3.20%,29.80%,7,16.70%,75.00%,3,-25.00%,0.00%,1,0.00%,,21,1,11,101.40%,-0.20%,1.10%
"San Jose, CA - Barbera-Stokes",Oct-13,$480K,-2.00%,23.10%,7,0.00%,40.00%,3,0.00%,-25.00%,,,,30,9,21,101.90%,0.50%,0.90%
"San Jose, CA - Barbera-Stokes",Nov-13,$500K,4.20%,17.90%,5,-28.60%,66.70%,2,-33.30%,-33.30%,,,,31,2,25,100.90%,-1.10%,0.10%
"San Jose, CA - Barbera-Stokes",Dec-13,$500K,0.00%,16.30%,4,-20.00%,300.00%,1,-50.00%,-66.70%,,,,24,-7,15,101.10%,0.20%,-2.50%
"San Jose, CA - Barbera-Stokes",Jan-14,$500K,0.00%,13.60%,2,-50.00%,100.00%,1,0.00%,-50.00%,,,,39,15,29,100.30%,-0.80%,-11.10%
"San Jose, CA - Barbera-Stokes",Mar-14,$547K,,24.40%,2,,-60.00%,4,,-20.00%,1,,0.00%,13,,3,106.90%,,-4.70%
"San Jose, CA - Barbera-Stokes",Apr-14,$545K,-0.40%,18.50%,3,50.00%,-40.00%,7,75.00%,16.70%,1,0.00%,0.00%,10,-3,2,107.20%,0.20%,-4.60%
"San Jose, CA - Barbera-Stokes",May-14,$547K,0.40%,14.50%,6,100.00%,20.00%,7,0.00%,75.00%,,,,12,2,4,107.30%,0.20%,-1.20%
"San Jose, CA - Barbera-Stokes",Jun-14,$570K,4.20%,18.50%,7,16.70%,133.30%,5,-28.60%,-16.70%,,,,12,1,3,108.80%,1.50%,1.70%
"San Jose, CA - Barbera-Stokes",Jul-14,$570K,0.00%,16.20%,7,0.00%,75.00%,4,-20.00%,-33.30%,1,,0.00%,12,0,-6,108.50%,-0.30%,6.10%
"San Jose, CA - Barbera-Stokes",Aug-14,$573K,0.40%,20.50%,6,-14.30%,0.00%,3,-25.00%,-25.00%,,,,12,0,-9,107.50%,-1.00%,5.90%
"San Jose, CA - Barbera-Stokes",Sep-14,$570K,-0.40%,16.30%,3,-50.00%,-57.10%,3,0.00%,0.00%,,,,12,0,-9,104.50%,-3.00%,3.10%
"San Jose, CA - Barbera-Stokes",Oct-14,$573K,0.50%,19.40%,2,-33.30%,-71.40%,1,-66.70%,-66.70%,,,,14,2,-16,104.00%,-0.50%,2.10%
"San Jose, CA - Barbera-Stokes",Nov-14,$595K,3.80%,19.00%,1,-50.00%,-80.00%,1,0.00%,-50.00%,,,,28,14,-3,106.30%,2.30%,5.40%
"San Jose, CA - Barbera-Stokes",Dec-14,$595K,0.00%,19.00%,1,0.00%,-75.00%,2,100.00%,100.00%,1,,,28,0,4,106.30%,0.00%,5.20%
"San Jose, CA - Barbera-Stokes",Jan-15,$595K,0.00%,19.00%,1,0.00%,-50.00%,1,-50.00%,0.00%,,,,28,0,-11,106.30%,0.00%,6.00%
"San Jose, CA - Barbera-Stokes",Feb-15,$600K,0.80%,,1,0.00%,,1,0.00%,,,,,19,-9,,103.50%,-2.80%,
"San Jose, CA - Barbera-Stokes",Mar-15,$600K,0.00%,9.60%,1,0.00%,-50.00%,,,,,,,19,0,7,103.50%,0.00%,-3.50%
"San Jose, CA - Barbera-Stokes",Apr-15,$600K,0.00%,10.10%,1,0.00%,-66.70%,1,,-85.70%,,,,19,0,9,103.50%,0.00%,-3.70%
"San Jose, CA - Barbera-Stokes",May-15,$636K,6.00%,16.20%,1,0.00%,-83.30%,3,200.00%,-57.10%,1,,,9,-10,-3,121.10%,17.70%,13.80%
"San Jose, CA - Barbera-Stokes",Jun-15,$650K,2.20%,14.00%,3,200.00%,-57.10%,3,0.00%,-40.00%,,,,24,15,12,113.60%,-7.50%,4.80%
"San Jose, CA - Barbera-Stokes",Jul-15,$650K,0.00%,14.00%,3,0.00%,-57.10%,2,-33.30%,-50.00%,,,,24,0,12,113.60%,0.00%,5.10%
"San Jose, CA - Barbera-Stokes",Aug-15,$680K,4.60%,18.80%,2,-33.30%,-66.70%,2,0.00%,-33.30%,2,,,29,5,17,109.90%,-3.80%,2.40%
"San Jose, CA - Barbera-Stokes",Sep-15,$650K,-4.40%,14.00%,1,-50.00%,-66.70%,3,50.00%,0.00%,2,0.00%,,20,-9,8,108.40%,-1.50%,3.80%
"San Jose, CA - Barbera-Stokes",Oct-15,$650K,0.00%,13.40%,3,200.00%,50.00%,4,33.30%,300.00%,1,-50.00%,,35,15,21,102.70%,-5.60%,-1.30%
"San Jose, CA - Barbera-Stokes",Nov-15,$618K,-5.00%,3.80%,4,33.30%,300.00%,5,25.00%,400.00%,3,200.00%,,28,-8,-1,103.60%,0.90%,-2.60%
"San Jose, CA - Barbera-Stokes",Dec-15,$608K,-1.60%,2.10%,5,25.00%,400.00%,4,-20.00%,100.00%,,,,41,14,13,101.50%,-2.20%,-4.80%
"San Jose, CA - Barbera-Stokes",Jan-16,$608K,0.00%,2.10%,3,-40.00%,200.00%,4,0.00%,300.00%,,,,42,1,14,102.50%,1.00%,-3.80%
"San Jose, CA - Barbera-Stokes",Feb-16,$638K,4.90%,6.30%,3,0.00%,200.00%,1,-75.00%,0.00%,,,,42,0,23,101.60%,-0.90%,-1.80%
"San Jose, CA - Barbera-Stokes",Mar-16,$730K,14.50%,21.70%,2,-33.30%,100.00%,3,200.00%,,1,,,38,-5,19,101.20%,-0.40%,-2.30%
"San Jose, CA - Barbera-Stokes",Apr-16,$718K,-1.70%,19.60%,4,100.00%,300.00%,5,66.70%,400.00%,1,0.00%,,22,-16,3,101.90%,0.70%,-1.50%
"San Jose, CA - Barbera-Stokes",May-16,$710K,-1.00%,11.60%,5,25.00%,400.00%,6,20.00%,100.00%,1,0.00%,0.00%,10,-12,1,103.90%,2.00%,-17.20%
"San Jose, CA - Barbera-Stokes",Jun-16,$650K,-8.50%,0.00%,5,0.00%,66.70%,4,-33.30%,33.30%,1,0.00%,,10,0,-14,104.20%,0.30%,-9.40%
"San Jose, CA - Barbera-Stokes",Jul-16,$650K,0.00%,0.00%,3,-40.00%,0.00%,1,-75.00%,-50.00%,1,0.00%,,9,-1,-15,105.20%,1.00%,-8.40%
"San Jose, CA - Barbera-Stokes",Aug-16,$650K,0.00%,-4.40%,1,-66.70%,-50.00%,4,300.00%,100.00%,4,300.00%,100.00%,22,13,-7,100.00%,-5.20%,-9.90%
"San Jose, CA - Barbera-Stokes",Sep-16,$690K,6.20%,6.20%,3,200.00%,200.00%,6,50.00%,100.00%,3,-25.00%,50.00%,30,8,10,98.90%,-1.10%,-9.40%
"San Jose, CA - Barbera-Stokes",Oct-16,$690K,0.00%,6.20%,5,66.70%,66.70%,8,33.30%,100.00%,4,33.30%,300.00%,30,0,-5,100.40%,1.50%,-2.30%
"San Jose, CA - Barbera-Stokes",Nov-16,$690K,0.00%,11.70%,5,0.00%,25.00%,4,-50.00%,-20.00%,2,-50.00%,-33.30%,30,0,3,100.40%,0.00%,-3.30%
"San Jose, CA - Barbera-Stokes",Dec-16,$661K,-4.20%,8.80%,6,20.00%,20.00%,2,-50.00%,-50.00%,,,,47,17,6,101.10%,0.70%,-0.40%
"San Jose, CA - Berryessa",Jan-12,$324K,1.60%,-20.30%,22,-15.40%,-8.30%,24,71.40%,-4.00%,13,8.30%,-38.10%,57,22,5,101.00%,0.80%,3.00%
"San Jose, CA - Berryessa",Feb-12,$319K,-1.50%,-18.20%,24,9.10%,4.30%,25,4.20%,-7.40%,10,-23.10%,-47.40%,21,-36,-27,100.80%,-0.20%,2.10%
"San Jose, CA - Berryessa",Mar-12,$318K,-0.30%,-10.90%,25,4.20%,8.70%,26,4.00%,-21.20%,7,-30.00%,-72.00%,13,-8,-35,99.70%,-1.20%,1.50%
"San Jose, CA - Berryessa",Apr-12,$337K,5.80%,8.50%,28,12.00%,0.00%,25,-3.80%,-30.60%,8,14.30%,-61.90%,16,3,-18,99.70%,0.00%,0.50%
"San Jose, CA - Berryessa",May-12,$400K,18.90%,25.00%,31,10.70%,14.80%,25,0.00%,-37.50%,8,0.00%,-73.30%,15,-1,-24,100.20%,0.50%,1.10%
"San Jose, CA - Berryessa",Jun-12,$414K,3.50%,33.50%,30,-3.20%,11.10%,24,-4.00%,-36.80%,8,0.00%,-76.50%,16,1,-10,101.40%,1.20%,1.30%
"San Jose, CA - Berryessa",Jul-12,$380K,-8.20%,5.60%,23,-23.30%,-4.20%,25,4.20%,-34.20%,10,25.00%,-69.70%,14,-2,-29,102.30%,1.00%,3.30%
"San Jose, CA - Berryessa",Aug-12,$431K,13.40%,28.80%,17,-26.10%,-32.00%,24,-4.00%,-25.00%,8,-20.00%,-69.20%,16,2,-27,102.20%,-0.20%,3.50%
"San Jose, CA - Berryessa",Sep-12,$426K,-1.20%,20.90%,15,-11.80%,-46.40%,22,-8.30%,-21.40%,5,-37.50%,-80.80%,17,2,-34,102.00%,-0.10%,4.90%
"San Jose, CA - Berryessa",Oct-12,$426K,-0.10%,29.50%,20,33.30%,-31.00%,21,-4.50%,0.00%,3,-40.00%,-82.40%,12,-6,-26,103.60%,1.50%,6.40%
"San Jose, CA - Berryessa",Nov-12,$446K,4.80%,38.10%,27,35.00%,3.80%,18,-14.30%,-5.30%,2,-33.30%,-84.60%,11,-1,-50,104.00%,0.40%,6.30%
"San Jose, CA - Berryessa",Dec-12,$446K,0.00%,39.80%,25,-7.40%,-3.80%,17,-5.60%,21.40%,3,50.00%,-75.00%,10,-1,-25,105.70%,1.70%,5.50%
"San Jose, CA - Berryessa",Jan-13,$455K,2.00%,40.40%,21,-16.00%,-4.50%,18,5.90%,-25.00%,3,0.00%,-76.90%,11,1,-46,105.60%,0.00%,4.60%
"San Jose, CA - Berryessa",Feb-13,$375K,-17.60%,17.60%,13,-38.10%,-45.80%,20,11.10%,-20.00%,6,100.00%,-40.00%,9,-2,-12,107.40%,1.80%,6.60%
"San Jose, CA - Berryessa",Mar-13,$375K,0.00%,17.90%,13,0.00%,-48.00%,22,10.00%,-15.40%,3,-50.00%,-57.10%,9,0,-4,105.60%,-1.80%,5.90%
"San Jose, CA - Berryessa",Apr-13,$430K,14.70%,27.80%,17,30.80%,-39.30%,20,-9.10%,-20.00%,3,0.00%,-62.50%,7,-2,-9,107.50%,1.90%,7.80%
